North Central US;4896861
South Central US;4736286
West US;5332921
North Europe;2963597
West Europe;2750405
France Central;2988507
France South;2995469
Germany Northeast;2874545
Norway East;3144096
Norway West;3144096
Australia East;2155400
South India;1264527
Japan West;1853909
US Gov. Arizona;5551752
US Gov. Texas;4736286
South Africa West;3369157
South Africa North;993800
East US;10861432
East US 2;10861432
Central US;10861432
West Central US;10861432
West US 2;10861432
Canada East;10861432
Canada Central;10861432
Brazil South;10861432
UK West;6255148
UK South;6255148
Germany Central;6255148
Germany North;6255148
Germany West Central;6255148
Switzerland North;6255148
Switzerland West;6255148
US Gov. Virginia;6255149
US Gov. Iowa;6255149
US DoD East;6255149
US DoD Central;6255149
US Sec East;6255149
US Sec West;6255149
Southeast Asia;6255147
East Asia;6255147
Australia Southeast;6255147
Australia Central;6255147
Australia Central 2;6255147
China East;6255147
China North;6255147
China East 2;6255147
China North 2;6255147
Central India;6255147
West India;6255147
Japan East;6255147
Korea Central;6255147
Korea South;6255147
UAE North;6269133
